        TP_MAC,TP_TEI,TP_PTEI,TP_ROLE,TP_TIER, TP_READSUCCESS
111111111111,1,1,4,0,
001707110295,3,27,1,2,
001707110293,4,27,2,2,
001707110290,5,4,1,3,
001707110279,6,27,1,2,
001707110863,7,8,1,5,
001707110296,8,10,2,4,
001707110861,9,4,1,3,
001707110866,10,4,2,3,
001707110862,11,12,1,3,
001707110289,12,27,2,2,
001707110858,13,12,1,3,
001707110288,14,18,1,5,
001707110297,15,4,1,3,
001707110294,16,10,1,4,
001707110867,17,10,1,4,
001707110860,18,10,2,4,
001707110859,19,10,2,4,
001707110864,20,23,1,7,
001707110865,21,24,1,6,
001707110630,22,23,1,7,
001707110629,23,24,2,6,
001707110633,24,19,2,5,
001707110635,25,19,1,5,
001707110280,26,23,1,7,
001707110292,27,1,2,1,
